id,game_id,season_id,competition,team_id,opponent_team_id,is_home,points,points_attempted,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pct,two_made,two_attempted,two_pct,ft_made,ft_attempted,ft_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,fouls_committed,fouls_received,turnovers,dunks,plus_minus,efficiency,collective_offensive_rebounds,collective_defensive_rebounds,collective_total_rebounds,source_url,parse_model
262,133,1,NBB,10,1,0,85,183,30,68,44.1,10,24,42,20,44,45,15,23,65,25,4,29,17,17,4,21,0,11,3,0,95,,,,https://lnb.com.br/noticias/araraquara-x-limeira-18022009/,classic
263,134,1,NBB,7,15,1,98,179,33,67,49.3,7,18,39,26,49,53,25,27,93,20,14,34,27,12,2,22,0,11,0,0,126,,,,https://lnb.com.br/noticias/franca-x-sao-jose-18022009/,classic
264,134,1,NBB,15,7,0,84,165,31,62,50,7,20,35,24,42,57,15,21,71,17,9,26,12,4,2,22,0,12,1,0,79,,,,https://lnb.com.br/noticias/franca-x-sao-jose-18022009/,classic
265,135,1,NBB,8,12,1,67,173,22,60,36.7,8,27,30,14,33,42,15,26,58,21,14,35,16,10,2,17,0,9,3,0,72,,,,https://lnb.com.br/noticias/joinville-x-paulistano-18022009/,classic
266,135,1,NBB,12,8,0,48,133,16,49,32.7,4,19,21,12,30,40,12,16,75,25,6,31,4,5,2,19,0,23,1,0,30,,,,https://lnb.com.br/noticias/joinville-x-paulistano-18022009/,classic
267,136,1,NBB,9,13,1,86,170,28,58,48.3,6,20,30,22,38,58,24,34,71,20,8,28,5,15,0,24,0,9,0,0,85,,,,https://lnb.com.br/noticias/lajeado-x-pinheiros-18022009/,classic
268,136,1,NBB,13,9,0,85,170,26,54,48.1,13,28,46,13,26,50,20,34,59,20,8,28,3,6,1,23,0,10,0,0,71,,,,https://lnb.com.br/noticias/lajeado-x-pinheiros-18022009/,classic
269,137,1,NBB,6,1,1,100,191,32,66,48.5,9,25,36,23,41,56,27,34,79,29,11,40,15,16,3,24,0,16,0,0,117,,,,https://lnb.com.br/noticias/flamengo-x-araraquara-18032009/,classic
270,137,1,NBB,1,6,0,83,183,28,64,43.8,9,26,35,19,38,50,18,29,62,22,6,28,20,8,1,29,0,20,3,0,73,,,,https://lnb.com.br/noticias/flamengo-x-araraquara-18032009/,classic
271,139,1,NBB,11,7,1,95,181,37,72,51.4,8,20,40,29,52,56,13,17,76,24,15,39,21,6,6,17,0,11,2,0,117,,,,https://lnb.com.br/noticias/minas-x-franca-18032009/,classic
272,139,1,NBB,7,11,0,81,168,29,64,45.3,7,19,37,22,45,49,16,21,76,20,11,31,15,7,5,17,0,12,2,0,87,,,,https://lnb.com.br/noticias/minas-x-franca-18032009/,classic
