id,team_id,season_id,alias,alias_type,source,is_primary
113,3,3,Bauru,season_display_name,standings,1
114,3,3,Bauru Basket,logo_alt,standings,0
115,3,3,MAIS SOBRE O CLUBE,link_text,standings,0
116,4,3,BRA,abbreviation,standings,0
117,4,3,Brasília,season_display_name,standings,1
118,4,3,MAIS SOBRE O CLUBE,link_text,standings,0
119,4,3,Brasilia,slug_name,standings,0
120,5,3,ESB,abbreviation,standings,0
121,5,3,Espírito Santo,season_display_name,standings,1
122,5,3,MAIS SOBRE O CLUBE,link_text,standings,0
123,6,3,FLA,abbreviation,standings,0
124,6,3,Flamengo,season_display_name,standings,1
125,6,3,MAIS SOBRE O CLUBE,link_text,standings,0
126,7,3,FRA,abbreviation,standings,0
127,7,3,Franca,season_display_name,standings,1
128,7,3,Sesi Franca,logo_alt,standings,0
129,7,3,MAIS SOBRE O CLUBE,link_text,standings,0
130,8,3,JOI,abbreviation,standings,0
131,8,3,Joinville,season_display_name,standings,1
132,8,3,MAIS SOBRE O CLUBE,link_text,standings,0
133,8,3,Joinville 2,slug_name,standings,0
134,10,3,LIM,abbreviation,standings,0
135,10,3,Limeira,season_display_name,standings,1
136,10,3,MAIS SOBRE O CLUBE,link_text,standings,0
137,10,3,Limeira 2,slug_name,standings,0
138,11,3,MIN,abbreviation,standings,0
139,11,3,Minas,season_display_name,standings,1
140,11,3,KTO Minas,logo_alt,standings,0
141,11,3,MAIS SOBRE O CLUBE,link_text,standings,0
142,12,3,CAP,abbreviation,standings,0
143,12,3,Paulistano,season_display_name,standings,1
144,12,3,MAIS SOBRE O CLUBE,link_text,standings,0
145,13,3,PIN,abbreviation,standings,0
146,13,3,Pinheiros,season_display_name,standings,1
147,13,3,MAIS SOBRE O CLUBE,link_text,standings,0
148,15,3,SJO,abbreviation,standings,0
149,15,3,São José,season_display_name,standings,1
150,15,3,Mr. Moo São José Basketball,logo_alt,standings,0
151,15,3,MAIS SOBRE O CLUBE,link_text,standings,0
152,15,3,Sao Jose,slug_name,standings,0
153,17,3,UBE,abbreviation,standings,0
154,17,3,Uberlândia,season_display_name,standings,1
155,17,3,MAIS SOBRE O CLUBE,link_text,standings,0
156,18,3,VIT,abbreviation,standings,0
157,18,3,Vitória (ES),season_display_name,standings,1
158,18,3,MAIS SOBRE O CLUBE,link_text,standings,0
159,18,3,Vitória Es,slug_name,standings,0
160,1,4,ARA,abbreviation,standings,0
161,1,4,Araraquara,season_display_name,standings,1
162,1,4,MAIS SOBRE O CLUBE,link_text,standings,0
163,1,4,Araraquara 2,slug_name,standings,0
164,3,4,BAU,abbreviation,standings,0
165,3,4,Bauru,season_display_name,standings,1
166,3,4,Bauru Basket,logo_alt,standings,0
167,3,4,MAIS SOBRE O CLUBE,link_text,standings,0
168,4,4,BRA,abbreviation,standings,0
169,4,4,Brasília,season_display_name,standings,1
170,4,4,MAIS SOBRE O CLUBE,link_text,standings,0
171,4,4,Brasilia,slug_name,standings,0
172,5,4,ESB,abbreviation,standings,0
173,5,4,Espírito Santo,season_display_name,standings,1
174,5,4,MAIS SOBRE O CLUBE,link_text,standings,0
175,6,4,FLA,abbreviation,standings,0
176,6,4,Flamengo,season_display_name,standings,1
177,6,4,MAIS SOBRE O CLUBE,link_text,standings,0
178,7,4,FRA,abbreviation,standings,0
179,7,4,Franca,season_display_name,standings,1
180,7,4,Sesi Franca,logo_alt,standings,0
181,7,4,MAIS SOBRE O CLUBE,link_text,standings,0
182,8,4,JOI,abbreviation,standings,0
183,8,4,Joinville,season_display_name,standings,1
184,8,4,MAIS SOBRE O CLUBE,link_text,standings,0
185,8,4,Joinville 2,slug_name,standings,0
186,19,4,LSB,abbreviation,standings,0
187,19,4,L. Sorocabana,season_display_name,standings,1
188,19,4,MAIS SOBRE O CLUBE,link_text,standings,0
189,19,4,L Sorocabana,slug_name,standings,0
190,10,4,LIM,abbreviation,standings,0
191,10,4,Limeira,season_display_name,standings,1
192,10,4,MAIS SOBRE O CLUBE,link_text,standings,0
193,10,4,Limeira 2,slug_name,standings,0
194,11,4,MIN,abbreviation,standings,0
195,11,4,Minas,season_display_name,standings,1
196,11,4,KTO Minas,logo_alt,standings,0
197,11,4,MAIS SOBRE O CLUBE,link_text,standings,0
198,12,4,CAP,abbreviation,standings,0
199,12,4,Paulistano,season_display_name,standings,1
200,12,4,MAIS SOBRE O CLUBE,link_text,standings,0
201,13,4,PIN,abbreviation,standings,0
202,13,4,Pinheiros,season_display_name,standings,1
203,13,4,MAIS SOBRE O CLUBE,link_text,standings,0
204,15,4,SJO,abbreviation,standings,0
205,15,4,São José,season_display_name,standings,1
206,15,4,Mr. Moo São José Basketball,logo_alt,standings,0
207,15,4,MAIS SOBRE O CLUBE,link_text,standings,0
208,15,4,Sao Jose,slug_name,standings,0
209,20,4,TIJ,abbreviation,standings,0
210,20,4,Tijuca,season_display_name,standings,1
211,20,4,MAIS SOBRE O CLUBE,link_text,standings,0
212,20,4,Tijuca 2,slug_name,standings,0
213,17,4,UBE,abbreviation,standings,0
214,17,4,Uberlândia,season_display_name,standings,1
215,17,4,MAIS SOBRE O CLUBE,link_text,standings,0
216,21,5,FOR,abbreviation,standings,0
217,21,5,Basq. Cearense,season_display_name,standings,1
218,21,5,Fortaleza Basquete Cearense,logo_alt,standings,0
219,21,5,MAIS SOBRE O CLUBE,link_text,standings,0
220,21,5,Basq Cearense,slug_name,standings,0
221,3,5,BAU,abbreviation,standings,0
222,3,5,Bauru,season_display_name,standings,1
223,3,5,Bauru Basket,logo_alt,standings,0
224,3,5,MAIS SOBRE O CLUBE,link_text,standings,0
